Feature,Feature.1,Feature.2,Feature.3,Feature.4,Feature.5,Feature.6,Feature.7,Target,Target.1,Target.2,Target.3,Target.4,Target.5,Target.6,Target.7
-2.65E-06,1.51E-08,3.93E-08,1.25E-08,3.98E-08,1.32E-08,2.65E-06,-1.39E-08,-0.099991069,-0.073644883,-0.101009209,-0.080764615,-0.073666599,0.099966982,-0.076883317,0.094365878
-2.64E-06,1.43E-08,4.58E-08,1.36E-08,4.56E-08,1.31E-08,2.64E-06,-1.33E-08,-0.099917215,-0.07325468,-0.096488139,-0.080193692,-0.073270122,0.099966071,-0.083494513,0.090616766
-2.64E-06,1.44E-08,5.21E-08,1.39E-08,5.09E-08,1.36E-08,2.64E-06,-1.44E-08,-0.099831088,-0.072870549,-0.09747991,-0.08330233,-0.072808883,0.099850709,-0.084659875,0.09742366
-2.63E-06,1.49E-08,5.62E-08,1.28E-08,5.64E-08,1.32E-08,2.63E-06,-1.43E-08,-0.099752295,-0.072484751,-0.09977545,-0.080603776,-0.072476971,0.099715427,-0.078600349,0.096315058
-2.62E-06,1.43E-08,6.20E-08,1.33E-08,6.18E-08,1.29E-08,2.62E-06,-1.35E-08,-0.09965957,-0.072099751,-0.096707231,-0.078761898,-0.072114555,0.0997026,-0.0815594,0.091747448
-2.62E-06,1.42E-08,6.86E-08,1.38E-08,6.70E-08,1.33E-08,2.62E-06,-1.42E-08,-0.099580306,-0.07173158,-0.096114882,-0.081253551,-0.071653987,0.099611784,-0.084474096,0.096052729
-2.61E-06,1.46E-08,7.28E-08,1.31E-08,7.27E-08,1.31E-08,2.61E-06,-1.45E-08,-0.099508902,-0.07133635,-0.098399774,-0.08028803,-0.071303109,0.09946094,-0.079802854,0.097524451
-2.60E-06,1.44E-08,7.81E-08,1.31E-08,7.80E-08,1.28E-08,2.60E-06,-1.38E-08,-0.099401568,-0.070949581,-0.096832429,-0.07805975,-0.070962765,0.099429091,-0.07992674,0.093526084
-2.60E-06,1.41E-08,8.46E-08,1.36E-08,8.30E-08,1.30E-08,2.60E-06,-1.41E-08,-0.099320984,-0.070595855,-0.095470299,-0.079548672,-0.070514272,0.099355604,-0.083073571,0.095413673
-2.59E-06,1.44E-08,8.90E-08,1.31E-08,8.88E-08,1.31E-08,2.59E-06,-1.46E-08,-0.099257532,-0.070198628,-0.097214685,-0.079687089,-0.070148088,0.099202032,-0.080170049,0.097995317
-2.58E-06,1.44E-08,9.39E-08,1.29E-08,9.40E-08,1.27E-08,2.58E-06,-1.41E-08,-0.099140999,-0.069807316,-0.096832614,-0.077661463,-0.06981872,0.099151003,-0.078568408,0.095221832
-2.58E-06,1.41E-08,1.00E-07,1.33E-08,9.88E-08,1.28E-08,2.58E-06,-1.41E-08,-0.099054354,-0.069464559,-0.09533625,-0.07815882,-0.069386817,0.099086428,-0.081036165,0.095289748
-2.57E-06,1.43E-08,1.05E-07,1.31E-08,1.05E-07,1.29E-08,2.57E-06,-1.46E-08,-0.098996911,-0.069070787,-0.096363191,-0.078794357,-0.069011582,0.098937677,-0.07971325,0.097895235
